ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440032141690	1440032142061	1440032142126	371	45	0	436	65
3	1440032141690	1440032142109	1440032142133	419	12	0	443	24
2	1440032141737	1440032142123	1440032142146	386	9	0	409	23
6	1440032141800	1440032142141	1440032142154	341	6	0	354	13
4	1440032141800	1440032142150	1440032142162	350	6	0	362	12
5	1440032141831	1440032142158	1440032142170	327	7	0	339	12
7	1440032141934	1440032142168	1440032142177	234	4	0	243	9
9	1440032141939	1440032142174	1440032142183	235	4	0	244	9
8	1440032142029	1440032142187	1440032142197	158	5	0	168	10
10	1440032142072	1440032142196	1440032142204	124	4	0	132	8
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440032838994	1440032839401	1440032839416	407	15	0	422	15
3	1440032839010	1440032839416	1440032839432	406	0	0	422	16
6	1440032839135	1440032839416	1440032839448	281	16	0	313	32
6	1440032839135	1440032839416	1440032839448	281	16	0	313	32
5	1440032839182	1440032839448	1440032839463	266	0	0	281	15
5	1440032839182	1440032839448	1440032839463	266	0	0	281	15
10	1440032839229	1440032839448	1440032839463	219	15	0	234	15
ID	Sent(ms)	Stored(ms)	Received(ms)	StoringLatency(ms)	Storing(ms)	Fetching(ms)	EndToEndLatency(ms)	StoringToEndLatency(ms)
1	1440036348623	1440036348701	1440036348717	78	0	0	94	16
2	1440036348826	1440036348904	1440036348920	78	16	0	94	16
3	1440036349029	1440036349123	1440036349123	94	0	0	94	0
4	1440036349232	1440036349326	1440036349326	94	0	0	94	0
5	1440036349435	1440036349529	1440036349529	94	0	0	94	0
6	1440036349639	1440036349732	1440036349732	93	0	0	93	0
7	1440036349842	1440036349920	1440036349936	78	16	0	94	16
8	1440036350045	1440036350139	1440036350139	94	0	0	94	0
9	1440036350248	1440036350342	1440036350357	94	0	0	109	15
10	1440036350451	1440036350529	1440036350545	78	16	0	94	16
